,user,percent,accuracy,time
1,adelmo,0.2,0.956298201,2.289
2,adelmo,0.4,0.983290488,5.9625
3,adelmo,0.6,0.991002571,11.06433333
4,adelmo,0.8,0.991002571,17.40016667
5,adelmo,1,0.996143959,25.63516667
6,carlitos,0.2,0.982258065,1.613333333
7,carlitos,0.4,0.991935484,4.312
8,carlitos,0.6,0.993548387,8.199666667
9,carlitos,0.8,0.996774194,11.8345
10,carlitos,1,0.996774194,17.221
11,charles,0.2,0.973049645,1.667833333
12,charles,0.4,0.985815603,6.1425
13,charles,0.6,0.992907801,9.575833333
14,charles,0.8,0.991489362,13.889
15,charles,1,0.992907801,20.3795
16,cummulative,0.2,0.966862095,31.34866667
17,cummulative,0.4,0.980627071,97.30866667
18,cummulative,0.6,0.98827428,192.944
19,cummulative,0.8,0.991078256,331.6056667
20,cummulative,1,0.991842977,259.3165
21,eurico,0.2,0.973856209,1.734666667
22,eurico,0.4,0.990196078,4.4825
23,eurico,0.6,0.996732026,8.249166667
24,eurico,0.8,0.996732026,11.744
25,eurico,1,1,17.33983333
26,jeremy,0.2,0.958702065,1.826
27,jeremy,0.4,0.970501475,4.9175
28,jeremy,0.6,0.985250737,9.850833333
29,jeremy,0.8,0.995575221,14.20683333
30,jeremy,1,0.995575221,20.47683333
31,pedro,0.2,0.938461538,1.276333333
32,pedro,0.4,0.971153846,3.379666667
33,pedro,0.6,0.978846154,5.9315
34,pedro,0.8,0.992307692,8.783333333
35,pedro,1,0.994230769,12.85483333
